ReviewID,DW_BookID,Rating,DW_CustomerID,Date,DW_AuthorID,Key_For_RatingSummary
3372,AD222,5,105,27/03/2022,BH149,2022AD222
7340,AD222,3,113,17/06/2021,BH149,2021AD222
20430,AD222,3,234,21/05/2023,BH149,2023AD222
40653,AD222,4,459,24/02/2022,BH149,2022AD222
51337,AD222,2,550,20/05/2023,BH149,2023AD222
52687,AD222,4,613,08/11/2022,BH149,2022AD222
80763,AD222,3,870,07/06/2022,BH149,2022AD222
98430,AD222,4,1014,27/01/2022,BH149,2022AD222
115590,AD222,2,1245,28/03/2021,BH149,2021AD222
126839,AD222,4,1307,22/12/2023,BH149,2023AD222
148957,AD222,3,1546,05/10/2022,BH149,2022AD222
153761,AD222,4,1598,27/01/2022,BH149,2022AD222
154881,AD222,4,1629,24/09/2023,BH149,2023AD222
186666,AD222,3,1932,27/06/2023,BH149,2023AD222
219753,AD222,3,2250,02/04/2023,BH149,2023AD222
225066,AD222,3,2316,16/10/2021,BH149,2021AD222
231452,AD222,5,2366,04/10/2021,BH149,2021AD222
230679,AD222,4,2385,13/11/2023,BH149,2023AD222
238574,AD222,5,2459,20/02/2023,BH149,2023AD222
250653,AD222,3,2559,11/01/2023,BH149,2023AD222
263947,AD222,5,2686,13/10/2022,BH149,2022AD222
270987,AD222,3,2796,12/03/2022,BH149,2022AD222
287653,AD222,2,2929,15/04/2023,BH149,2023AD222
291232,AD222,5,2944,20/12/2023,BH149,2023AD222
296458,AD222,3,3022,10/08/2021,BH149,2021AD222
298539,AD222,5,3024,29/06/2023,BH149,2023AD222
302130,AD222,4,3051,29/12/2022,BH149,2022AD222
323753,AD222,4,3290,22/11/2023,BH149,2023AD222
326888,AD222,3,3356,08/10/2021,BH149,2021AD222
338657,AD222,3,3443,06/08/2022,BH149,2022AD222
340449,AD222,2,3453,03/02/2022,BH149,2022AD222
340685,AD222,4,3491,30/12/2021,BH149,2021AD222
343586,AD222,3,3521,04/07/2021,BH149,2021AD222
347788,AD222,4,3565,11/06/2021,BH149,2021AD222
361435,AD222,5,3649,28/04/2021,BH149,2021AD222
363736,AD222,5,3673,14/12/2023,BH149,2023AD222
389949,AD222,4,3948,10/02/2022,BH149,2022AD222
393582,AD222,3,4017,08/03/2022,BH149,2022AD222
433939,AD222,3,4378,17/10/2023,BH149,2023AD222
435579,AD222,3,4434,17/10/2021,BH149,2021AD222
451562,AD222,4,4577,13/02/2021,BH149,2021AD222
459438,AD222,4,4632,22/06/2022,BH149,2022AD222
460762,AD222,3,4669,15/01/2021,BH149,2021AD222
473754,AD222,5,4791,31/01/2023,BH149,2023AD222
501938,AD222,4,5057,04/02/2023,BH149,2023AD222
514076,AD222,5,5216,02/08/2021,BH149,2021AD222
514771,AD222,2,5218,01/04/2022,BH149,2022AD222
527760,AD222,3,5337,17/11/2021,BH149,2021AD222
529876,AD222,4,5374,20/09/2021,BH149,2021AD222
544157,AD222,4,5498,02/04/2021,BH149,2021AD222
547142,AD222,3,5513,08/07/2023,BH149,2023AD222
557530,AD222,3,5605,27/03/2022,BH149,2022AD222
561186,AD222,3,5697,01/11/2021,BH149,2021AD222
561685,AD222,5,5701,05/10/2023,BH149,2023AD222
571662,AD222,4,5778,19/07/2022,BH149,2022AD222
575673,AD222,3,5829,12/02/2021,BH149,2021AD222
579362,AD222,3,5855,01/05/2023,BH149,2023AD222
582064,AD222,5,5884,11/10/2022,BH149,2022AD222
591354,AD222,4,5967,09/03/2022,BH149,2022AD222
599188,AD222,3,6079,19/08/2023,BH149,2023AD222
602566,AD222,3,6091,24/08/2023,BH149,2023AD222
617635,AD222,4,6211,20/05/2022,BH149,2022AD222
623453,AD222,5,6287,27/08/2021,BH149,2021AD222
625849,AD222,4,6307,28/04/2023,BH149,2023AD222
627534,AD222,3,6309,15/09/2021,BH149,2021AD222
635959,AD222,4,6418,10/08/2021,BH149,2021AD222
648763,AD222,4,6550,11/02/2021,BH149,2021AD222
653638,AD222,3,6574,14/12/2022,BH149,2022AD222
653462,AD222,4,6596,30/04/2022,BH149,2022AD222
655081,AD222,3,6631,24/01/2022,BH149,2022AD222
660135,AD222,3,6636,25/03/2022,BH149,2022AD222
669057,AD222,2,6747,24/03/2021,BH149,2021AD222
673233,AD222,5,6765,02/12/2021,BH149,2021AD222
677739,AD222,5,6816,22/04/2022,BH149,2022AD222
683046,AD222,4,6876,22/08/2021,BH149,2021AD222
693890,AD222,5,7028,21/04/2022,BH149,2022AD222
700035,AD222,4,7035,15/10/2022,BH149,2022AD222
701287,AD222,5,7099,06/08/2021,BH149,2021AD222
705080,AD222,5,7130,02/03/2023,BH149,2023AD222
728249,AD222,4,7331,16/10/2021,BH149,2021AD222
726582,AD222,3,7347,22/10/2023,BH149,2023AD222
732564,AD222,5,7389,13/09/2022,BH149,2022AD222
736931,AD222,5,7400,08/04/2022,BH149,2022AD222
745074,AD222,3,7524,22/04/2022,BH149,2022AD222
759356,AD222,5,7649,25/10/2021,BH149,2021AD222
764334,AD222,4,7677,20/05/2023,BH149,2023AD222
765839,AD222,4,7697,12/05/2022,BH149,2022AD222
767978,AD222,3,7757,17/12/2023,BH149,2023AD222
770870,AD222,4,7778,08/02/2022,BH149,2022AD222
773153,AD222,4,7784,07/10/2022,BH149,2022AD222
774648,AD222,4,7794,08/11/2022,BH149,2022AD222
775644,AD222,5,7800,27/10/2022,BH149,2022AD222
778135,AD222,4,7816,01/02/2021,BH149,2021AD222
784469,AD222,5,7913,16/05/2021,BH149,2021AD222
799147,AD222,3,8038,26/06/2022,BH149,2022AD222
799056,AD222,3,8046,29/12/2022,BH149,2022AD222
803038,AD222,4,8068,11/12/2022,BH149,2022AD222
815274,AD222,4,8226,10/09/2023,BH149,2023AD222
819435,AD222,4,8229,20/01/2022,BH149,2022AD222
826581,AD222,4,8346,07/04/2021,BH149,2021AD222
839738,AD222,5,8435,26/08/2021,BH149,2021AD222
841151,AD222,4,8462,17/10/2023,BH149,2023AD222
848537,AD222,5,8522,13/01/2021,BH149,2021AD222
852933,AD222,3,8562,07/05/2021,BH149,2021AD222
852261,AD222,4,8583,18/08/2022,BH149,2022AD222
866449,AD222,5,8713,25/05/2023,BH149,2023AD222
866371,AD222,2,8734,02/07/2022,BH149,2022AD222
873342,AD222,5,8775,01/03/2021,BH149,2021AD222
880940,AD222,3,8849,02/07/2023,BH149,2023AD222
884230,AD222,5,8872,24/05/2023,BH149,2023AD222
892948,AD222,5,8977,16/04/2022,BH149,2022AD222
913351,AD222,3,9184,09/05/2022,BH149,2022AD222
918337,AD222,3,9220,12/11/2023,BH149,2023AD222
932453,AD222,3,9377,06/10/2021,BH149,2021AD222
934450,AD222,4,9394,26/06/2023,BH149,2023AD222
935684,AD222,5,9440,17/10/2023,BH149,2023AD222
936184,AD222,5,9445,28/04/2021,BH149,2021AD222
951039,AD222,3,9549,29/01/2021,BH149,2021AD222
961330,AD222,4,9643,02/06/2023,BH149,2023AD222
959550,AD222,4,9645,09/10/2023,BH149,2023AD222
961741,AD222,4,9658,20/04/2021,BH149,2021AD222
961547,AD222,5,9662,09/04/2022,BH149,2022AD222
964241,AD222,5,9683,06/05/2022,BH149,2022AD222
